
### emit yolov8n w8check
[emit] variant w8check  grid [-127, 127]  window (-1, 3)  form auto
[emit] float  models/yolov8n_cut.onnx  sha256 11b52c2530def3c99bccc4bee39a40683aab8619d4278a334b5f0f78c43fd0a1
[emit] xint8  models/yolov8n_cut_xint8.onnx  sha256 f02e86ba1bf61ff3fdc159e29b15259567e279df06f68c6d9adeb966fe56c885
[check] 63 Convs: stored int8 == clip(rint(w / s8), -127, 127) of the float weight, and choose_pos(-127..127, window -1..3) == choose_pow2_minmse == shipped pos8, on all 63
[check] graph_diff vs shipped: node_delta 0, init mismatches 0, weights changed 0/126 int8 initializers
[check] graph_diff vs shipped + intended rewrite only: empty
[check] grid [-127, 127], multiple of 2**k with k in [0, 4] (form b), <= 255 levels per group: all groups; float identity stored * scale == q * 2**-pos on 63 convs
conv                                                    shape form  grp pos8    pos4     k edge  SQNR8  SQNR4  clip% lvl sh-k  e-k
/model.18/cv2/conv/Conv                      (128, 192, 1, 1)    b    1    6       6     0       26.35  26.35  0.000 100    6    5
/model.19/conv/Conv                          (128, 128, 3, 3)    b    1    8       8     0       32.77  32.77  0.000 201    9    8
/model.22/cv2.1/cv2.1.0/conv/Conv             (64, 128, 3, 3)    b    1    6       6     0       25.04  25.04  0.001 136    8    6
/model.22/cv3.1/cv3.1.0/conv/Conv             (80, 128, 3, 3)    b    1    7       7     0       24.33  24.33  0.003 150    8    7
/model.21/cv1/conv/Conv                      (256, 384, 1, 1)    b    1    7       7     0       32.59  32.59  0.013 235    7    6
/model.22/cv2.1/cv2.1.1/conv/Conv              (64, 64, 3, 3)    b    1    5       5     0       23.00  23.00  0.000 110    7    4
/model.22/cv3.1/cv3.1.1/conv/Conv              (80, 80, 3, 3)    b    1    3       3     0       16.35  16.35  0.000  79    6    5
/model.22/cv2.1/cv2.1.2/Conv                   (64, 64, 1, 1)    b    1    8       8     0    L  33.88  33.88  0.000 144    7    5
/model.22/cv3.1/cv3.1.2/Conv                   (80, 80, 1, 1)    b    1    9       9     0       37.02  37.02  0.016 189    8    7
/model.21/m.0/cv1/conv/Conv                  (128, 128, 3, 3)    b    1    7       7     0       27.88  27.88  0.000 152    7    6
/model.21/m.0/cv2/conv/Conv                  (128, 128, 3, 3)    b    1    7       7     0       28.38  28.38  0.007 220    8    7
/model.21/cv2/conv/Conv                      (256, 384, 1, 1)    b    1    6       6     0       25.43  25.43  0.003 131    7    5
/model.22/cv2.2/cv2.2.0/conv/Conv             (64, 256, 3, 3)    b    1    7       7     0       27.18  27.18  0.002 193    9    6
/model.22/cv3.2/cv3.2.0/conv/Conv             (80, 256, 3, 3)    b    1    6       6     0       19.98  19.98  0.001  85    8    6
/model.22/cv2.2/cv2.2.1/conv/Conv              (64, 64, 3, 3)    b    1    6       6     0       25.57  25.57  0.005 152    8    5
/model.22/cv3.2/cv3.2.1/conv/Conv              (80, 80, 3, 3)    b    1    4       4     0       18.46  18.46  0.007  86    7    6
/model.22/cv2.2/cv2.2.2/Conv                   (64, 64, 1, 1)    b    1    8       8     0    L  34.48  34.48  0.000 144    7    5
/model.22/cv3.2/cv3.2.2/Conv                   (80, 80, 1, 1)    b    1    8       8     0       33.12  33.12  0.000 102    7    6
[emit] forms: b 63, a 0, kept W8 0; k over all groups {'0': 63}; groups at the window edge {'low': 8, 'high': 0}
[emit] headroom if lowered as true int4 (acc << k): convs with shift_out - k_max < 0: 0, with e_bias - k_max < 0: 0
[emit] wrote scratch/int4_w4a8/yolov8n_w8check.onnx  sha256 ec48c462cae898af2ce5f6e12f3071477c571ba47c12c3d07e9a4876485e14ec
[emit] sidecar results/int4/w4a8_sidecar_yolov8n_w8check_desktop2_20260923.json
[emit] PASS

### emit yolov8n e1
[emit] variant e1  grid [-7, 7]  window (-1, 5)  form auto
[emit] float  models/yolov8n_cut.onnx  sha256 11b52c2530def3c99bccc4bee39a40683aab8619d4278a334b5f0f78c43fd0a1
[emit] xint8  models/yolov8n_cut_xint8.onnx  sha256 f02e86ba1bf61ff3fdc159e29b15259567e279df06f68c6d9adeb966fe56c885
[check] 63 Convs: stored int8 == clip(rint(w / s8), -127, 127) of the float weight, and choose_pos(-127..127, window -1..3) == choose_pow2_minmse == shipped pos8, on all 63
[check] graph_diff vs shipped: node_delta 0, init mismatches 0, weights changed 63/126 int8 initializers
[check] graph_diff vs shipped + intended rewrite only: empty
[check] grid [-7, 7], multiple of 2**k with k in [0, 4] (form b), <= 15 levels per group: all groups; float identity stored * scale == q * 2**-pos on 63 convs
conv                                                    shape form  grp pos8    pos4     k edge  SQNR8  SQNR4  clip% lvl sh-k  e-k
/model.0/conv/Conv                              (16, 3, 3, 3)    b    1    2      -1     3       33.93  15.67  0.231  13    4    2
/model.1/conv/Conv                             (32, 16, 3, 3)    b    1    5       2     3       29.86  11.18  0.326  15    4    0
/model.2/cv1/conv/Conv                         (32, 32, 1, 1)    b    1    6       3     3       27.92  11.39  0.098  10    2   -1
/model.2/m.0/cv1/conv/Conv                     (16, 16, 3, 3)    b    1    5       2     3       30.51  11.48  0.434  15    2    0
/model.2/m.0/cv2/conv/Conv                     (16, 16, 3, 3)    b    1    7       4     3       33.22  11.87  0.955  15    4    2
/model.2/cv2/conv/Conv                         (32, 48, 1, 1)    b    1    7       3     4       32.29  11.87  0.130  15    2    0
/model.3/conv/Conv                             (64, 32, 3, 3)    b    1    8       5     3       34.63  14.13  0.901  15    5    5
/model.4/cv1/conv/Conv                         (64, 64, 1, 1)    b    1    6       3     3       33.20  12.42  0.781  15    3    2
/model.4/m.0/cv1/conv/Conv                     (32, 32, 3, 3)    b    1    7       4     3       33.56  13.30  0.477  15    4    3
/model.4/m.0/cv2/conv/Conv                     (32, 32, 3, 3)    b    1    6       4     2       28.29  12.32  0.597  15    5    3
/model.4/m.1/cv1/conv/Conv                     (32, 32, 3, 3)    b    1    8       5     3       32.83  13.06  1.118  15    5    3
/model.4/m.1/cv2/conv/Conv                     (32, 32, 3, 3)    b    1    6       3     3       34.76  14.47  0.684  15    4    3
/model.4/cv2/conv/Conv                        (64, 128, 1, 1)    b    1    7       4     3       33.56  14.82  0.232  15    4    3
/model.5/conv/Conv                            (128, 64, 3, 3)    b    1    8       5     3       30.56  13.47  0.541  15    6    5
/model.6/cv1/conv/Conv                       (128, 128, 1, 1)    b    1    6       3     3       32.05  13.06  0.244  15    4    3
/model.6/m.0/cv1/conv/Conv                     (64, 64, 3, 3)    b    1    6       4     2       26.94  11.81  0.372  15    4    3
/model.6/m.0/cv2/conv/Conv                     (64, 64, 3, 3)    b    1    7       5     2       29.34  12.70  0.694  15    6    4
/model.6/m.1/cv1/conv/Conv                     (64, 64, 3, 3)    b    1    8       5     3       30.80  14.75  0.537  15    5    3
/model.6/m.1/cv2/conv/Conv                     (64, 64, 3, 3)    b    1    6       4     2       28.41  13.82  0.613  15    5    4
/model.6/cv2/conv/Conv                       (128, 256, 1, 1)    b    1    8       5     3       35.78  15.56  0.671  15    5    4
/model.7/conv/Conv                           (256, 128, 3, 3)    b    1    8       5     3       33.54  15.03  0.154  15    5    4
/model.8/cv1/conv/Conv                       (256, 256, 1, 1)    b    1    7       4     3       31.65  15.76  1.601  15    5    4
/model.8/m.0/cv1/conv/Conv                   (128, 128, 3, 3)    b    1    7       5     2       31.47  14.71  1.548  15    4    3
/model.8/m.0/cv2/conv/Conv                   (128, 128, 3, 3)    b    1    7       5     2       26.67  13.64  0.443  15    6    5
/model.8/cv2/conv/Conv                       (256, 384, 1, 1)    b    1    8       5     3       34.43  16.31  0.289  15    4    3
/model.9/cv1/conv/Conv                       (128, 256, 1, 1)    b    1    7       5     2       32.66  14.77  2.106  15    6    6
/model.9/cv2/conv/Conv                       (256, 512, 1, 1)    b    1    8       5     3       27.11  12.55  0.124  15    5    5
/model.12/cv1/conv/Conv                      (128, 384, 1, 1)    b    1    6       4     2       29.65  15.13  0.515  15    4    3
/model.12/m.0/cv1/conv/Conv                    (64, 64, 3, 3)    b    1    8       5     3       34.41  14.45  1.058  15    6    5
/model.12/m.0/cv2/conv/Conv                    (64, 64, 3, 3)    b    1    7       4     3       31.75  14.61  0.182  15    5    3
/model.12/cv2/conv/Conv                      (128, 192, 1, 1)    b    1    7       4     3       34.19  15.22  0.427  15    5    4
/model.15/cv1/conv/Conv                       (64, 192, 1, 1)    b    1    7       4     3       32.19  13.16  0.431  15    5    5
/model.15/m.0/cv1/conv/Conv                    (32, 32, 3, 3)    b    1    7       4     3       33.82  15.13  0.423  15    4    4
/model.15/m.0/cv2/conv/Conv                    (32, 32, 3, 3)    b    1    6       3     3       31.48  13.15  0.184  15    5    5
/model.15/cv2/conv/Conv                        (64, 96, 1, 1)    b    1    7       3     4       34.15  13.12  0.146  15    4    4
/model.16/conv/Conv                            (64, 64, 3, 3)    b    1    8       5     3       30.13  13.88  1.080  15    6    5
/model.22/cv2.0/cv2.0.0/conv/Conv              (64, 64, 3, 3)    b    1    7       4     3       29.73  11.63  0.331  15    6    4
/model.22/cv3.0/cv3.0.0/conv/Conv              (80, 64, 3, 3)    b    1    7       5     2       30.59  12.16  1.495  15    6    6
/model.18/cv1/conv/Conv                      (128, 192, 1, 1)    b    1    7       4     3       36.21  14.15  1.794  15    5    4
/model.22/cv2.0/cv2.0.1/conv/Conv              (64, 64, 3, 3)    b    1    5       2     3       24.49   9.28  0.130  15    5    2
/model.22/cv3.0/cv3.0.1/conv/Conv              (80, 80, 3, 3)    b    1    4       2     2       21.66   8.22  0.130  15    5    5
/model.22/cv2.0/cv2.0.2/Conv                   (64, 64, 1, 1)    b    1    8       5     3       33.10  14.12  0.903  15    4    2
/model.22/cv3.0/cv3.0.2/Conv                   (80, 80, 1, 1)    b    1    9       6     3       39.70  16.10  3.250  15    6    5
/model.18/m.0/cv1/conv/Conv                    (64, 64, 3, 3)    b    1    7       5     2       28.34  12.77  0.643  15    5    3
/model.18/m.0/cv2/conv/Conv                    (64, 64, 3, 3)    b    1    6       3     3       30.56  11.70  0.252  15    4    3
/model.18/cv2/conv/Conv                      (128, 192, 1, 1)    b    1    6       4     2       26.35  11.20  0.427  15    4    3
/model.19/conv/Conv                          (128, 128, 3, 3)    b    1    8       5     3       32.77  13.97  0.221  15    6    5
/model.22/cv2.1/cv2.1.0/conv/Conv             (64, 128, 3, 3)    b    1    6       4     2       25.04   9.18  0.345  15    6    4
/model.22/cv3.1/cv3.1.0/conv/Conv             (80, 128, 3, 3)    b    1    7       5     2       24.33  11.73  0.751  15    6    5
/model.21/cv1/conv/Conv                      (256, 384, 1, 1)    b    1    7       4     3       32.59  15.04  1.354  15    4    3
/model.22/cv2.1/cv2.1.1/conv/Conv              (64, 64, 3, 3)    b    1    5       2     3       23.00   8.46  0.043  15    4    1
/model.22/cv3.1/cv3.1.1/conv/Conv              (80, 80, 3, 3)    b    1    3       2     1       16.35   4.43  0.118  15    5    4
/model.22/cv2.1/cv2.1.2/Conv                   (64, 64, 1, 1)    b    1    8       5     3       33.88  14.24  1.196  15    4    2
/model.22/cv3.1/cv3.1.2/Conv                   (80, 80, 1, 1)    b    1    9       6     3       37.02  16.01  3.203  15    5    4
/model.21/m.0/cv1/conv/Conv                  (128, 128, 3, 3)    b    1    7       5     2       27.88  12.68  0.539  15    5    4
/model.21/m.0/cv2/conv/Conv                  (128, 128, 3, 3)    b    1    7       4     3       28.38  11.60  0.259  15    5    4
/model.21/cv2/conv/Conv                      (256, 384, 1, 1)    b    1    6       4     2       25.43  10.20  0.307  15    5    3
/model.22/cv2.2/cv2.2.0/conv/Conv             (64, 256, 3, 3)    b    1    7       4     3       27.18   9.36  0.112  15    6    3
/model.22/cv3.2/cv3.2.0/conv/Conv             (80, 256, 3, 3)    b    1    6       5     1       19.98   9.53  0.228  15    7    5
/model.22/cv2.2/cv2.2.1/conv/Conv              (64, 64, 3, 3)    b    1    6       3     3       25.57  10.11  0.127  15    5    2
/model.22/cv3.2/cv3.2.1/conv/Conv              (80, 80, 3, 3)    b    1    4       2     2       18.46   4.49  0.076  15    5    4
/model.22/cv2.2/cv2.2.2/Conv                   (64, 64, 1, 1)    b    1    8       5     3       34.48  15.83  1.587  15    4    2
/model.22/cv3.2/cv3.2.2/Conv                   (80, 80, 1, 1)    b    1    8       6     2       33.12  15.24  2.453  15    5    4
[emit] forms: b 63, a 0, kept W8 0; k over all groups {'1': 2, '2': 18, '3': 41, '4': 2}; groups at the window edge {'low': 0, 'high': 0}
[emit] headroom if lowered as true int4 (acc << k): convs with shift_out - k_max < 0: 0, with e_bias - k_max < 0: 1
[emit] wrote scratch/int4_w4a8/yolov8n_w4a8_e1.onnx  sha256 4b0c957edb101091d28c02bbc544a8c980fedec9e4d6ca25c1136322b9f96733
[emit] sidecar results/int4/w4a8_sidecar_yolov8n_e1_desktop2_20260923.json
[emit] PASS

### emit yolov8n e2
[emit] variant e2  grid [-7, 7]  window (-1, 5)  form auto
[emit] float  models/yolov8n_cut.onnx  sha256 11b52c2530def3c99bccc4bee39a40683aab8619d4278a334b5f0f78c43fd0a1
[emit] xint8  models/yolov8n_cut_xint8.onnx  sha256 f02e86ba1bf61ff3fdc159e29b15259567e279df06f68c6d9adeb966fe56c885
[check] 63 Convs: stored int8 == clip(rint(w / s8), -127, 127) of the float weight, and choose_pos(-127..127, window -1..3) == choose_pow2_minmse == shipped pos8, on all 63
[emit] form a: /model.22/cv3.1/cv3.1.1/conv/Conv: k -1..3, 1 of 3 groups outside [0, 4]
[check] graph_diff vs shipped + intended rewrite only: empty
